transaction_id,customer_id,timestamp,amount,transaction_type,device_type,ip_address,merchant_category,merchant_country,international,account_age_days,failed_logins,device_fingerprint,fraud
43.0,,2023-01-30,,POS Purchase,Desktop,,Travel,UK,0.0,1851.0,1.0,DF-752747,0.0
44.0,3047.0,2023-07-10,94.31,POS Purchase,Mobile,192.168.235.59,Electronics,FR,0.0,519.0,2.0,DF-774493,0.0
45.0,4547.0,2023-09-17,282.37,Online Purchase,Mobile,,Retail,IN,0.0,,0.0,,0.0
46.0,3747.0,2023-07-24,155.16,Transfer,Mobile,192.168.21.171,Others,DE,0.0,391.0,1.0,DF-134699,0.0
47.0,1975.0,,16.13,Transfer,Mobile,192.168.31.94,Others,US,0.0,3913.0,3.0,DF-541776,0.0
48.0,2806.0,2023-09-21,3.64,ATM Withdrawal,Mobile,192.168.82.178,Retail,US,0.0,3709.0,1.0,,0.0
49.0,1189.0,2023-01-12,21.59,POS Purchase,Desktop,192.168.212.2,Electronics,IN,0.0,2649.0,1.0,DF-917866,0.0
,4005.0,2023-04-29,,Online Purchase,,192.168.69.159,Food,FR,0.0,1024.0,1.0,DF-657494,0.0
,3734.0,2023-10-17,541.19,Transfer,Mobile,192.168.129.87,Electronics,IN,0.0,,3.0,DF-592056,1.0
52.0,4005.0,2023-12-04,202.89,ATM Withdrawal,Mobile,192.168.108.58,Travel,FR,0.0,,1.0,DF-995150,0.0
53.0,1562.0,2023-09-05,323.72,Online Purchase,Tablet,192.168.251.218,Travel,DE,0.0,574.0,1.0,DF-518504,0.0
54.0,2899.0,2023-12-20,125.61,Transfer,Desktop,192.168.200.76,Electronics,DE,0.0,1008.0,1.0,DF-269766,0.0
55.0,4638.0,2023-05-07,89.78,Online Purchase,,192.168.254.246,Travel,IN,0.0,961.0,1.0,DF-614652,0.0
56.0,2267.0,2023-03-16,22.95,Transfer,Desktop,192.168.13.50,Food,UK,1.0,120.0,0.0,DF-884945,0.0
57.0,,2023-12-27,417.39,Online Purchase,Tablet,192.168.138.77,Food,US,0.0,3050.0,0.0,DF-869020,
58.0,2528.0,2023-07-23,305.72,Transfer,Tablet,,Others,FR,0.0,2040.0,0.0,DF-654139,0.0
59.0,4202.0,2023-02-18,36.81,Transfer,Desktop,192.168.211.79,Travel,FR,0.0,267.0,0.0,DF-947928,0.0
60.0,4556.0,,143.59,,Desktop,192.168.123.185,Electronics,CN,0.0,2539.0,0.0,DF-842118,0.0
61.0,4890.0,2023-08-29,133.64,Transfer,Tablet,192.168.33.120,Others,US,0.0,3125.0,0.0,DF-606193,0.0
62.0,1646.0,2023-12-15,196.21,Transfer,Desktop,192.168.79.205,Food,US,0.0,1280.0,1.0,DF-332142,0.0
63.0,,2023-06-03,584.45,Transfer,,192.168.52.155,Others,FR,0.0,880.0,2.0,DF-206478,0.0
64.0,3888.0,2023-10-01,173.39,Online Purchase,Tablet,192.168.17.153,Retail,US,1.0,3482.0,1.0,DF-523638,0.0
65.0,3214.0,2023-04-06,155.4,Online Purchase,Desktop,192.168.101.134,Travel,DE,0.0,2998.0,1.0,DF-412285,0.0
66.0,2297.0,2023-08-02,10.33,Transfer,Mobile,192.168.172.97,Electronics,UK,1.0,2984.0,1.0,DF-652931,
67.0,3435.0,2023-10-21,12.99,,Tablet,192.168.238.240,Food,IN,1.0,,1.0,DF-279383,0.0
68.0,1600.0,2023-07-28,41.49,Online Purchase,Tablet,192.168.44.198,Others,DE,,3107.0,3.0,DF-771010,0.0
69.0,3363.0,2023-12-09,,ATM Withdrawal,Mobile,192.168.224.34,Electronics,US,1.0,2647.0,3.0,DF-229947,0.0
70.0,3061.0,2023-03-29,272.01,Transfer,Tablet,192.168.179.113,Travel,UK,0.0,2689.0,2.0,DF-165837,0.0
,1241.0,2023-11-02,256.99,ATM Withdrawal,Desktop,192.168.230.20,Electronics,FR,,663.0,1.0,DF-591766,0.0
72.0,3041.0,2023-09-21,29.25,Online Purchase,Tablet,192.168.240.155,,CN,0.0,3458.0,,,0.0
73.0,3824.0,,361.67,Transfer,Desktop,192.168.95.43,Travel,DE,0.0,3258.0,2.0,DF-691182,0.0
74.0,4417.0,2023-11-16,33.63,ATM Withdrawal,,192.168.79.55,Travel,DE,1.0,1254.0,2.0,DF-785428,0.0
75.0,3612.0,2023-06-06,71.67,Online Purchase,,192.168.137.150,Others,US,0.0,1278.0,2.0,DF-943715,0.0
76.0,3945.0,2023-06-05,57.26,ATM Withdrawal,Tablet,192.168.175.179,Travel,US,0.0,1012.0,1.0,,0.0
77.0,2363.0,2023-05-19,93.14,POS Purchase,Mobile,192.168.241.142,Electronics,IN,0.0,2540.0,2.0,DF-248501,0.0
78.0,3139.0,,58.78,Online Purchase,Mobile,192.168.54.42,Retail,UK,0.0,3880.0,0.0,DF-729353,0.0
79.0,2390.0,2023-03-06,134.26,POS Purchase,Tablet,192.168.49.5,Electronics,IN,1.0,692.0,2.0,DF-988950,0.0
80.0,4003.0,2023-04-17,104.65,Online Purchase,Desktop,192.168.160.61,Others,DE,0.0,3358.0,0.0,DF-422743,0.0
81.0,,2023-05-27,862.05,Online Purchase,Tablet,192.168.54.166,Travel,US,0.0,1019.0,0.0,DF-912546,0.0
82.0,4499.0,2023-05-17,11.51,Transfer,Tablet,,Retail,CN,0.0,1646.0,0.0,DF-404619,0.0
83.0,3556.0,2023-06-11,30.67,POS Purchase,,,Others,US,1.0,2508.0,1.0,DF-832794,0.0
84.0,1775.0,2023-04-10,10.85,POS Purchase,Desktop,192.168.73.180,Food,US,,2955.0,1.0,DF-970130,0.0
85.0,1034.0,,196.61,POS Purchase,Desktop,192.168.33.168,Food,IN,1.0,454.0,1.0,DF-698452,0.0
86.0,3253.0,2023-11-03,11.21,Online Purchase,Tablet,192.168.9.51,Food,DE,0.0,1460.0,2.0,DF-846274,0.0
87.0,4152.0,2023-05-21,362.11,POS Purchase,Desktop,192.168.202.184,Retail,US,0.0,1665.0,0.0,DF-516872,0.0
88.0,2955.0,,143.46,POS Purchase,Mobile,192.168.77.2,Electronics,,0.0,134.0,0.0,DF-481030,0.0
89.0,2585.0,2023-06-26,149.74,Transfer,Desktop,192.168.184.160,Retail,CN,,2329.0,2.0,DF-679220,0.0
90.0,4943.0,2023-07-17,164.92,ATM Withdrawal,Mobile,192.168.134.3,Retail,US,0.0,2722.0,1.0,DF-792928,0.0
91.0,4459.0,2023-04-22,37.46,ATM Withdrawal,Desktop,192.168.166.47,Retail,IN,0.0,1152.0,2.0,DF-526808,0.0
92.0,4073.0,2023-02-25,44.05,POS Purchase,,192.168.253.73,Food,FR,,207.0,1.0,DF-578941,0.0
93.0,2021.0,2023-06-28,76.78,POS Purchase,,,Electronics,IN,0.0,1318.0,1.0,DF-195278,
94.0,4461.0,2023-07-05,180.03,POS Purchase,Mobile,192.168.165.3,Retail,US,1.0,1185.0,1.0,DF-600015,
95.0,3613.0,2023-08-06,47.17,POS Purchase,,192.168.3.119,Electronics,CN,0.0,1252.0,1.0,DF-991046,
96.0,2129.0,2023-11-12,24.73,ATM Withdrawal,Mobile,192.168.118.227,Travel,IN,0.0,3806.0,0.0,DF-878733,0.0
97.0,4843.0,2023-08-05,702.09,Transfer,Desktop,192.168.154.213,Retail,US,0.0,749.0,0.0,DF-534262,0.0
,4893.0,,4.45,Online Purchase,Tablet,192.168.213.16,Retail,US,1.0,3158.0,1.0,DF-496513,0.0
99.0,2500.0,2023-06-24,,POS Purchase,Tablet,192.168.236.225,Retail,US,1.0,2969.0,2.0,DF-835351,0.0
100.0,1702.0,2023-01-23,310.27,POS Purchase,Tablet,192.168.95.243,Travel,US,1.0,438.0,2.0,DF-843325,0.0
101.0,3449.0,2023-08-01,70.54,ATM Withdrawal,Tablet,192.168.69.181,Travel,US,0.0,3031.0,0.0,DF-963479,0.0
102.0,3777.0,,29.15,POS Purchase,Tablet,192.168.96.7,Food,IN,1.0,2339.0,2.0,DF-685208,0.0
,,2023-01-13,31.48,Transfer,Mobile,192.168.113.252,Others,UK,0.0,2819.0,2.0,DF-107089,0.0
104.0,1161.0,2023-04-11,239.09,Transfer,Desktop,192.168.180.227,Electronics,DE,1.0,683.0,1.0,DF-122880,0.0
105.0,1201.0,2023-01-24,205.9,POS Purchase,Mobile,192.168.4.196,Others,CN,0.0,2652.0,3.0,DF-672559,0.0
106.0,,,305.34,ATM Withdrawal,Desktop,192.168.46.201,Retail,DE,1.0,2195.0,1.0,DF-810376,0.0
107.0,1995.0,2023-01-11,554.46,POS Purchase,Desktop,192.168.39.121,Retail,IN,0.0,3586.0,2.0,DF-352253,0.0
108.0,3317.0,2023-09-30,235.48,POS Purchase,Desktop,192.168.134.139,Food,US,0.0,3048.0,2.0,DF-269474,0.0
,4934.0,2023-10-08,33.89,ATM Withdrawal,Desktop,192.168.93.152,Others,IN,,3422.0,1.0,DF-834201,0.0
,1815.0,2023-04-04,55.8,Transfer,Tablet,192.168.27.170,Retail,DE,0.0,337.0,1.0,DF-611724,0.0
111.0,,2023-07-20,369.28,,Desktop,192.168.76.174,Others,US,0.0,519.0,0.0,DF-574428,0.0
112.0,1455.0,2023-01-21,46.97,POS Purchase,Desktop,,Food,US,0.0,1374.0,1.0,DF-450977,0.0
113.0,4533.0,,15.06,Transfer,Tablet,,Others,UK,0.0,2834.0,1.0,DF-854713,1.0
114.0,4798.0,2023-07-30,242.99,POS Purchase,Mobile,192.168.26.71,Electronics,UK,0.0,3994.0,0.0,DF-791729,0.0
115.0,2275.0,2023-05-20,103.01,Online Purchase,Mobile,192.168.133.202,Food,UK,0.0,3457.0,1.0,DF-925665,0.0
116.0,2016.0,2023-10-20,505.25,,Mobile,,Others,US,0.0,,1.0,DF-427575,0.0
,4773.0,2023-10-25,210.11,Transfer,Mobile,192.168.104.249,Retail,US,1.0,637.0,1.0,DF-547233,0.0
118.0,3343.0,2023-04-11,18.95,Online Purchase,,192.168.68.70,Travel,CN,0.0,2814.0,1.0,DF-697573,0.0
119.0,,2023-10-31,590.75,POS Purchase,,192.168.149.186,Travel,UK,0.0,3621.0,1.0,DF-987719,0.0
120.0,3767.0,2023-12-25,59.83,Online Purchase,Tablet,192.168.174.116,Food,CN,0.0,1579.0,0.0,DF-868921,0.0
121.0,4820.0,2023-01-28,82.26,Transfer,Mobile,192.168.245.195,Travel,IN,0.0,53.0,2.0,DF-941912,0.0
122.0,1337.0,2023-02-10,102.92,ATM Withdrawal,,192.168.31.210,Electronics,IN,0.0,1245.0,0.0,DF-111312,0.0
,1878.0,2023-12-21,10.52,POS Purchase,Desktop,192.168.108.96,Food,US,0.0,782.0,0.0,DF-522711,0.0
124.0,2076.0,,137.24,ATM Withdrawal,Mobile,192.168.0.181,,IN,0.0,3078.0,1.0,DF-460389,0.0
125.0,1791.0,2023-05-26,26.32,ATM Withdrawal,Desktop,192.168.173.168,Retail,US,0.0,378.0,1.0,DF-360171,0.0
126.0,4993.0,2023-09-13,102.49,Online Purchase,Desktop,192.168.247.107,Food,IN,0.0,54.0,3.0,DF-802228,0.0
127.0,3264.0,2023-08-15,86.38,Online Purchase,Desktop,192.168.113.40,Travel,IN,1.0,3491.0,3.0,DF-845999,0.0
128.0,1763.0,2023-08-24,,Transfer,Desktop,,Travel,US,0.0,3742.0,0.0,DF-107173,0.0
129.0,3235.0,2023-12-27,325.08,Transfer,Desktop,192.168.29.45,Retail,US,0.0,1044.0,2.0,DF-458458,0.0
130.0,,2023-01-13,33.31,ATM Withdrawal,Mobile,192.168.219.104,Electronics,US,1.0,628.0,2.0,DF-154338,0.0
131.0,1492.0,2023-07-29,91.32,Transfer,,192.168.179.95,Travel,US,0.0,1798.0,1.0,DF-614302,0.0
132.0,4112.0,2023-08-17,93.47,,Mobile,,Electronics,UK,0.0,830.0,,DF-189896,0.0
133.0,2180.0,2023-04-10,32.84,POS Purchase,Tablet,192.168.60.224,Travel,FR,0.0,2987.0,0.0,DF-139314,0.0
134.0,3062.0,2023-01-31,320.35,,Desktop,192.168.140.88,Food,UK,0.0,988.0,0.0,DF-650943,0.0
135.0,4884.0,,245.67,,Desktop,192.168.233.167,Others,IN,0.0,1621.0,0.0,DF-198313,0.0
136.0,1064.0,2023-05-17,42.24,Transfer,Tablet,192.168.230.125,Retail,,1.0,3291.0,0.0,DF-757087,0.0
137.0,4928.0,,91.37,ATM Withdrawal,Mobile,192.168.60.119,Food,CN,0.0,1081.0,1.0,DF-484374,0.0
138.0,4910.0,2023-06-15,22.37,Online Purchase,Desktop,192.168.171.240,Travel,FR,0.0,2618.0,,DF-226300,0.0
139.0,3568.0,2023-11-06,197.88,ATM Withdrawal,Tablet,192.168.189.120,Retail,DE,1.0,2568.0,1.0,DF-991468,0.0
140.0,2367.0,2023-04-10,25.88,,Tablet,192.168.171.47,Others,DE,1.0,2565.0,1.0,DF-540851,0.0
141.0,2152.0,2023-04-19,852.8,Online Purchase,Desktop,192.168.201.58,Others,FR,0.0,820.0,0.0,DF-471867,0.0
142.0,3027.0,2023-12-09,303.45,POS Purchase,Mobile,192.168.184.222,Travel,US,1.0,201.0,1.0,DF-234170,
143.0,3695.0,2023-06-22,98.94,Online Purchase,Mobile,,Retail,CN,0.0,2115.0,0.0,DF-497260,0.0
144.0,2495.0,,172.82,Transfer,Desktop,192.168.24.188,Travel,,0.0,328.0,,DF-543544,0.0
145.0,4134.0,2023-06-11,484.59,Online Purchase,Tablet,192.168.45.53,Others,CN,0.0,3367.0,2.0,DF-803355,0.0
146.0,2162.0,2023-08-04,161.53,Transfer,Desktop,192.168.243.236,Food,FR,0.0,3128.0,1.0,DF-326588,0.0
147.0,2522.0,2023-09-21,38.35,Transfer,Mobile,192.168.33.250,Food,US,0.0,677.0,1.0,DF-612627,1.0
148.0,3640.0,2023-09-20,95.19,ATM Withdrawal,Tablet,192.168.83.134,Electronics,IN,0.0,777.0,0.0,DF-838553,0.0
149.0,1391.0,2023-10-19,370.49,ATM Withdrawal,Desktop,192.168.224.61,Others,FR,0.0,1810.0,1.0,DF-483886,0.0
150.0,2698.0,2023-10-01,,POS Purchase,Tablet,192.168.56.226,Others,UK,0.0,1505.0,0.0,DF-315468,0.0
151.0,1418.0,2023-01-03,210.38,Transfer,Mobile,,Travel,CN,0.0,1522.0,1.0,DF-556236,0.0
152.0,,2023-01-28,403.21,ATM Withdrawal,Mobile,192.168.115.75,Electronics,US,1.0,1138.0,0.0,DF-768957,0.0
153.0,1378.0,2023-11-22,448.81,Transfer,Mobile,192.168.132.75,Electronics,CN,0.0,955.0,0.0,DF-701593,0.0
154.0,2796.0,2023-05-29,504.63,POS Purchase,Desktop,192.168.220.162,Retail,,0.0,2090.0,1.0,DF-233413,0.0
155.0,4561.0,2023-01-28,19.93,Transfer,Tablet,192.168.211.36,Travel,,1.0,3671.0,2.0,DF-432219,0.0
156.0,3278.0,2023-11-06,157.11,POS Purchase,Desktop,192.168.187.192,Food,US,0.0,2336.0,0.0,DF-800703,1.0
157.0,4065.0,2023-03-06,269.81,POS Purchase,Desktop,192.168.143.29,Retail,US,0.0,1009.0,2.0,DF-323537,
,3088.0,2023-12-22,282.88,POS Purchase,,192.168.200.41,Electronics,DE,0.0,1153.0,0.0,DF-955110,0.0
159.0,4099.0,2023-01-21,186.64,ATM Withdrawal,Desktop,192.168.60.201,Food,CN,0.0,645.0,0.0,DF-937794,0.0
160.0,3182.0,2023-09-09,,Online Purchase,Tablet,192.168.204.47,Others,US,0.0,1314.0,1.0,DF-326784,1.0
161.0,1200.0,2023-08-23,319.32,Online Purchase,Tablet,192.168.189.83,Travel,US,1.0,2355.0,0.0,DF-962795,0.0
162.0,2863.0,2023-08-15,254.67,ATM Withdrawal,Desktop,192.168.92.191,Electronics,DE,,983.0,0.0,DF-873462,0.0
163.0,1779.0,2023-01-13,18.01,Transfer,Desktop,,Others,DE,0.0,3167.0,0.0,DF-353444,0.0
164.0,3977.0,2023-11-09,,ATM Withdrawal,Mobile,192.168.45.112,Electronics,US,0.0,3702.0,0.0,DF-172810,0.0
165.0,,2023-02-18,38.23,Transfer,Mobile,192.168.27.228,Food,UK,,2885.0,0.0,DF-724619,0.0
166.0,4119.0,2023-04-28,82.34,POS Purchase,Tablet,192.168.76.120,Retail,DE,0.0,,1.0,DF-874942,0.0
167.0,1502.0,2023-02-23,3.65,ATM Withdrawal,Mobile,192.168.2.36,Food,IN,0.0,3479.0,2.0,DF-593519,0.0
168.0,3454.0,2023-05-18,,Online Purchase,Tablet,192.168.175.146,Travel,FR,0.0,1570.0,0.0,DF-596224,0.0
169.0,4645.0,,159.65,,Tablet,192.168.91.82,Travel,IN,1.0,2733.0,1.0,DF-966996,0.0
170.0,2751.0,2023-02-13,193.3,ATM Withdrawal,Tablet,192.168.16.209,Electronics,CN,0.0,1170.0,1.0,DF-957585,0.0
171.0,1804.0,2023-10-30,217.83,ATM Withdrawal,Mobile,192.168.209.120,,IN,1.0,,1.0,DF-830112,0.0
172.0,3146.0,2023-02-22,361.93,Transfer,Mobile,192.168.86.39,Retail,FR,0.0,528.0,2.0,DF-412917,0.0
173.0,3731.0,2023-03-15,48.53,POS Purchase,Tablet,192.168.177.72,Travel,UK,0.0,2282.0,,DF-399483,0.0
174.0,2895.0,2023-02-15,25.68,POS Purchase,Tablet,192.168.28.178,Retail,US,0.0,616.0,1.0,DF-967780,0.0
175.0,3773.0,2023-01-13,381.48,POS Purchase,Desktop,192.168.41.28,Others,UK,0.0,1133.0,1.0,DF-119395,0.0
176.0,2570.0,,34.07,POS Purchase,Tablet,192.168.65.123,Electronics,DE,1.0,3119.0,0.0,DF-515808,0.0
177.0,1960.0,2023-04-12,735.87,Transfer,Tablet,192.168.144.248,,IN,0.0,1782.0,1.0,DF-551470,1.0
178.0,4810.0,2023-10-07,369.71,Online Purchase,Desktop,192.168.119.108,Electronics,UK,1.0,643.0,1.0,DF-681092,0.0
,3660.0,2023-09-15,138.98,ATM Withdrawal,Tablet,192.168.158.91,Others,IN,0.0,3077.0,1.0,DF-988816,0.0
180.0,2485.0,2023-12-03,797.15,ATM Withdrawal,Tablet,192.168.234.111,Retail,US,1.0,673.0,1.0,DF-933459,1.0
181.0,3690.0,2023-12-22,20.49,POS Purchase,Tablet,192.168.51.166,,US,1.0,2898.0,0.0,DF-407621,0.0
182.0,4840.0,2023-05-18,,Transfer,Desktop,192.168.59.93,Others,US,0.0,,0.0,DF-281228,0.0
183.0,2028.0,2023-06-12,203.35,Online Purchase,,192.168.226.239,Food,CN,0.0,1165.0,2.0,DF-124087,
184.0,4289.0,2023-04-21,86.16,,Tablet,192.168.178.211,Retail,CN,1.0,626.0,2.0,DF-938806,0.0
185.0,1502.0,2023-04-12,527.26,ATM Withdrawal,Desktop,192.168.143.97,Retail,DE,0.0,3944.0,0.0,DF-918990,0.0
186.0,3814.0,2023-01-17,13.58,POS Purchase,Tablet,192.168.13.217,Travel,FR,1.0,1879.0,1.0,DF-738342,0.0
187.0,1397.0,2023-09-25,159.44,ATM Withdrawal,Desktop,192.168.211.169,Food,IN,0.0,3729.0,0.0,DF-859806,0.0
188.0,1870.0,,178.74,,Tablet,192.168.50.23,Retail,CN,0.0,2392.0,1.0,DF-666263,0.0
189.0,3842.0,2023-01-24,211.53,Online Purchase,Desktop,192.168.106.209,Others,US,0.0,191.0,2.0,DF-329116,0.0
190.0,1392.0,2023-01-29,59.05,Transfer,Mobile,192.168.170.72,Electronics,,0.0,1851.0,1.0,DF-976550,0.0
191.0,1206.0,2023-06-20,90.69,Online Purchase,Mobile,192.168.146.83,Others,US,0.0,2003.0,1.0,DF-260716,0.0
192.0,2038.0,2023-08-16,371.17,ATM Withdrawal,Mobile,192.168.60.105,Food,IN,1.0,353.0,1.0,DF-386211,0.0
193.0,2881.0,2023-07-07,43.37,POS Purchase,Tablet,192.168.93.62,Travel,US,0.0,2795.0,0.0,DF-664986,
194.0,4625.0,2023-12-12,350.74,POS Purchase,Desktop,192.168.153.254,Travel,US,0.0,3432.0,0.0,DF-628053,0.0
195.0,3939.0,2023-08-18,165.41,Transfer,Tablet,192.168.94.34,Travel,CN,1.0,2657.0,4.0,DF-128775,0.0
196.0,2484.0,2023-11-17,287.25,Transfer,,192.168.66.55,Others,UK,0.0,928.0,1.0,DF-317042,0.0
197.0,4762.0,2023-12-06,250.08,Transfer,Desktop,,Electronics,IN,1.0,789.0,1.0,DF-479343,0.0
198.0,4646.0,2023-04-29,46.52,ATM Withdrawal,Tablet,192.168.156.133,,IN,0.0,531.0,1.0,DF-218323,0.0
199.0,,2023-06-05,168.24,ATM Withdrawal,Desktop,192.168.179.128,,US,0.0,86.0,,DF-597233,0.0
200.0,3790.0,2023-09-29,404.57,Transfer,Desktop,192.168.179.23,Electronics,US,0.0,,0.0,DF-381423,0.0
201.0,4312.0,2023-06-24,113.17,POS Purchase,Mobile,192.168.101.161,Electronics,US,0.0,3267.0,1.0,DF-146639,0.0
202.0,1563.0,2023-04-14,679.78,POS Purchase,Mobile,192.168.114.251,,US,0.0,2374.0,0.0,DF-950270,0.0
203.0,2020.0,2023-04-02,120.37,POS Purchase,Mobile,192.168.134.74,Others,CN,0.0,1057.0,0.0,DF-193912,0.0
204.0,1095.0,2023-07-05,30.81,ATM Withdrawal,,192.168.10.35,Others,DE,1.0,,1.0,DF-136673,0.0
205.0,2923.0,2023-10-10,98.67,Online Purchase,Mobile,192.168.147.62,Food,UK,,836.0,0.0,,0.0
206.0,2757.0,2023-06-30,606.07,POS Purchase,Desktop,192.168.79.190,Others,UK,1.0,1930.0,2.0,DF-405394,0.0
207.0,3532.0,2023-06-19,,POS Purchase,,192.168.196.87,Travel,DE,0.0,1159.0,2.0,DF-505723,0.0
208.0,4478.0,2023-07-06,405.14,POS Purchase,Mobile,192.168.29.157,Travel,US,1.0,649.0,0.0,DF-719727,0.0
209.0,3278.0,2023-06-24,426.15,Transfer,Desktop,192.168.102.248,Food,US,0.0,3783.0,0.0,DF-509214,1.0
210.0,3796.0,2023-08-10,86.21,ATM Withdrawal,Desktop,192.168.111.238,Electronics,IN,0.0,808.0,2.0,DF-459605,0.0
