transaction_id,customer_id,transaction_amount,transaction_type,transaction_time,device_type,location,merchant_category,account_age_days,num_prev_transactions,avg_transaction_amount,is_international,is_high_risk_country,failed_login_attempts,card_present,fraud
59,4202,443.65,POS Purchase,2023-01-03 10:00:00,Mobile,Urban,Electronics,1907.0,104,298.41,0,0,4.0,0,0
60,4556,2.75,Transfer,2023-01-03 11:00:00,Mobile,Suburban,Clothing,218.0,226,143.49,1,0,3.0,0,0
61,4890,77.94,Online Purchase,2023-01-03 12:00:00,Tablet,Urban,Food,1470.0,438,141.66,0,0,,0,0
62,1646,161.65,ATM Withdrawal,2023-01-03 13:00:00,Desktop,Suburban,Travel,1250.0,376,255.05,0,0,0.0,0,0
63,3068,,Online Purchase,2023-01-03 14:00:00,Mobile,Suburban,Travel,579.0,430,90.29,0,0,2.0,0,0
64,3888,19.32,Online Purchase,2023-01-03 15:00:00,Tablet,Suburban,Clothing,553.0,189,38.48,0,0,0.0,0,0
65,3214,337.78,POS Purchase,2023-01-03 16:00:00,Mobile,Suburban,Food,1689.0,194,259.07,0,0,,0,0
66,2297,449.63,ATM Withdrawal,2023-01-03 17:00:00,Desktop,Rural,,,63,184.93,0,0,3.0,0,0
67,3435,347.01,ATM Withdrawal,2023-01-03 18:00:00,Desktop,Urban,Travel,850.0,376,92.84,0,0,3.0,0,0
68,1600,458.11,POS Purchase,2023-01-03 19:00:00,Tablet,Suburban,Clothing,43.0,170,115.97,0,0,0.0,0,0
69,3363,161.09,POS Purchase,2023-01-03 20:00:00,Desktop,Urban,Clothing,996.0,17,139.18,0,0,1.0,0,0
70,3061,334.54,Transfer,2023-01-03 21:00:00,Mobile,Urban,Electronics,889.0,258,210.51,0,0,1.0,0,0
71,1241,96.92,Online Purchase,2023-01-03 22:00:00,Desktop,Suburban,Electronics,1617.0,314,151.09,0,0,0.0,0,0
72,3041,219.48,ATM Withdrawal,2023-01-03 23:00:00,Mobile,Suburban,Entertainment,1298.0,371,130.83,0,0,3.0,0,1
73,3824,899.0,POS Purchase,2023-01-04 00:00:00,Desktop,Urban,Entertainment,1745.0,189,238.53,0,0,3.0,0,0
74,4417,51.17,Online Purchase,2023-01-04 01:00:00,Desktop,Urban,Entertainment,,294,40.12,0,0,2.0,1,0
75,3612,98.83,Online Purchase,2023-01-04 02:00:00,Mobile,Urban,Entertainment,1517.0,474,202.71,0,0,3.0,0,0
76,3945,130.8,POS Purchase,2023-01-04 03:00:00,Mobile,Suburban,Clothing,1990.0,319,145.7,1,0,4.0,0,0
77,2363,29.7,Online Purchase,2023-01-04 04:00:00,Mobile,Urban,Clothing,1695.0,456,113.76,0,0,4.0,0,0
78,3139,16.9,Online Purchase,2023-01-04 05:00:00,Desktop,Urban,Clothing,462.0,252,279.72,1,0,3.0,1,0
79,2390,354.07,Online Purchase,2023-01-04 06:00:00,Desktop,Urban,Food,641.0,80,237.82,0,0,0.0,0,0
80,4003,752.67,Online Purchase,2023-01-04 07:00:00,Mobile,Urban,Entertainment,491.0,59,81.39,0,1,4.0,0,0
81,2478,103.75,POS Purchase,2023-01-04 08:00:00,Tablet,Suburban,Food,907.0,104,202.65,0,0,3.0,0,0
82,4499,18.35,ATM Withdrawal,2023-01-04 09:00:00,Mobile,Rural,Travel,313.0,425,250.24,0,1,3.0,1,0
83,3556,13.62,Online Purchase,2023-01-04 10:00:00,Desktop,Urban,Travel,652.0,364,297.02,0,0,4.0,0,0
84,1775,443.87,POS Purchase,2023-01-04 11:00:00,Desktop,Urban,Clothing,829.0,260,215.56,0,0,3.0,1,0
85,1034,124.65,Online Purchase,2023-01-04 12:00:00,Mobile,Suburban,Travel,1657.0,254,213.39,1,0,0.0,0,0
86,3253,77.14,POS Purchase,2023-01-04 13:00:00,Mobile,Suburban,Clothing,1641.0,45,191.72,0,0,1.0,1,0
87,4152,129.43,ATM Withdrawal,2023-01-04 14:00:00,,Urban,Entertainment,746.0,131,31.2,1,0,4.0,0,0
88,2955,76.63,POS Purchase,2023-01-04 15:00:00,Desktop,Urban,Food,563.0,13,183.82,0,0,4.0,0,0
89,2585,134.29,ATM Withdrawal,2023-01-04 16:00:00,Mobile,Rural,,,476,245.41,0,0,3.0,0,0
90,4943,392.59,POS Purchase,2023-01-04 17:00:00,Mobile,Suburban,Electronics,1421.0,266,130.72,0,0,0.0,1,0
91,4459,179.45,POS Purchase,2023-01-04 18:00:00,Desktop,Rural,Electronics,1050.0,443,184.35,0,0,4.0,1,0
92,4073,237.26,POS Purchase,2023-01-04 19:00:00,Mobile,Urban,Entertainment,1210.0,21,279.42,0,0,3.0,1,0
93,2021,90.72,ATM Withdrawal,2023-01-04 20:00:00,Desktop,Suburban,Food,763.0,105,68.17,1,0,3.0,1,0
94,4461,268.27,Transfer,2023-01-04 21:00:00,Mobile,Suburban,,1516.0,4,98.53,0,0,3.0,0,0
95,3613,219.69,POS Purchase,2023-01-04 22:00:00,Desktop,Suburban,Entertainment,1925.0,180,50.89,0,0,2.0,0,0
96,2129,25.47,ATM Withdrawal,2023-01-04 23:00:00,Mobile,Rural,Food,1633.0,395,160.07,0,0,2.0,1,0
97,4843,170.03,Online Purchase,2023-01-05 00:00:00,Desktop,Urban,Electronics,190.0,148,255.1,0,0,0.0,0,0
98,4893,59.34,Transfer,2023-01-05 01:00:00,Desktop,Suburban,Clothing,203.0,334,141.86,0,0,1.0,0,0
99,2500,326.03,Online Purchase,2023-01-05 02:00:00,Desktop,Urban,Food,934.0,279,39.56,0,0,2.0,0,0
100,1702,111.0,Online Purchase,2023-01-05 03:00:00,Mobile,Suburban,Travel,1552.0,12,93.79,0,0,0.0,1,0
101,3449,1047.41,Online Purchase,2023-01-05 04:00:00,Mobile,Suburban,Clothing,1603.0,351,269.12,0,0,3.0,0,0
102,3777,19.41,Transfer,2023-01-05 05:00:00,Mobile,Suburban,Travel,1389.0,25,176.11,0,0,,1,0
103,2579,303.14,ATM Withdrawal,2023-01-05 06:00:00,Mobile,Urban,Entertainment,55.0,39,275.94,0,0,,0,0
104,1161,223.99,Transfer,2023-01-05 07:00:00,Desktop,Urban,Food,1819.0,281,253.64,0,0,4.0,1,0
105,1201,291.77,ATM Withdrawal,2023-01-05 08:00:00,Desktop,Urban,Food,1557.0,483,136.0,0,0,,0,0
106,2981,73.5,POS Purchase,2023-01-05 09:00:00,Mobile,Urban,Food,1352.0,428,197.39,0,0,2.0,0,0
107,1995,135.48,Transfer,2023-01-05 10:00:00,Tablet,Urban,Food,466.0,285,206.04,0,0,3.0,1,0
108,3317,318.43,Transfer,2023-01-05 11:00:00,Tablet,Rural,Clothing,1848.0,63,229.1,0,0,0.0,0,0
109,4934,52.93,POS Purchase,2023-01-05 12:00:00,Desktop,Urban,Travel,788.0,110,113.23,0,0,1.0,0,0
110,1815,51.25,Online Purchase,2023-01-05 13:00:00,,Urban,Travel,40.0,328,100.92,0,0,1.0,0,0
111,4342,160.17,POS Purchase,2023-01-05 14:00:00,Tablet,Suburban,Entertainment,1291.0,87,211.68,0,0,4.0,0,0
112,1455,148.28,Transfer,2023-01-05 15:00:00,,Suburban,Entertainment,648.0,123,249.25,0,0,4.0,1,0
113,4533,66.33,ATM Withdrawal,2023-01-05 16:00:00,Desktop,Urban,Food,1463.0,421,135.99,0,0,0.0,0,0
114,4798,70.79,ATM Withdrawal,2023-01-05 17:00:00,Desktop,Urban,Electronics,1387.0,145,109.9,0,1,0.0,0,0
115,2275,65.1,Transfer,2023-01-05 18:00:00,Mobile,Urban,Electronics,1366.0,392,251.15,0,0,1.0,1,0
116,2016,295.25,ATM Withdrawal,2023-01-05 19:00:00,Desktop,Urban,Food,1054.0,213,212.35,0,0,3.0,0,0
117,4773,211.05,ATM Withdrawal,2023-01-05 20:00:00,Desktop,Suburban,Travel,552.0,439,116.19,0,0,0.0,0,0
118,3343,357.26,ATM Withdrawal,2023-01-05 21:00:00,Desktop,Suburban,Entertainment,1723.0,127,168.31,0,0,,0,0
119,4796,741.6,Online Purchase,2023-01-05 22:00:00,Mobile,Suburban,Clothing,117.0,293,289.04,0,0,4.0,0,0
120,3767,128.55,POS Purchase,2023-01-05 23:00:00,Mobile,Suburban,Electronics,271.0,148,229.96,0,0,4.0,0,0
121,4820,13.8,POS Purchase,2023-01-06 00:00:00,Mobile,Suburban,Entertainment,1038.0,326,82.07,0,0,4.0,0,0
122,1337,9.86,ATM Withdrawal,2023-01-06 01:00:00,Mobile,Rural,Electronics,1185.0,139,102.61,0,0,3.0,0,0
123,1878,70.1,POS Purchase,2023-01-06 02:00:00,Desktop,Suburban,Travel,627.0,291,94.26,0,1,,0,0
124,2076,539.26,Online Purchase,2023-01-06 03:00:00,Mobile,Urban,Travel,1675.0,121,257.54,0,0,3.0,0,0
125,1791,148.14,Online Purchase,2023-01-06 04:00:00,Mobile,Urban,Food,1381.0,10,199.6,1,0,4.0,1,0
126,4993,63.43,POS Purchase,2023-01-06 05:00:00,Desktop,Urban,Food,140.0,383,283.2,0,0,2.0,0,0
127,3264,101.89,POS Purchase,2023-01-06 06:00:00,Desktop,Suburban,Electronics,1773.0,450,45.46,0,0,2.0,0,0
128,1763,182.56,Online Purchase,2023-01-06 07:00:00,Mobile,Suburban,Electronics,318.0,282,34.56,0,0,1.0,1,0
129,3235,211.66,Online Purchase,2023-01-06 08:00:00,Mobile,Urban,Entertainment,1470.0,251,209.34,0,0,4.0,0,0
130,1379,33.43,POS Purchase,2023-01-06 09:00:00,Tablet,Suburban,Food,103.0,446,94.65,0,0,4.0,0,1
131,1492,754.73,Online Purchase,2023-01-06 10:00:00,Mobile,Urban,Travel,1887.0,454,210.17,0,0,3.0,0,0
132,4112,157.39,Online Purchase,2023-01-06 11:00:00,Desktop,Rural,Entertainment,1814.0,193,222.57,0,0,1.0,0,0
133,2180,29.16,Online Purchase,2023-01-06 12:00:00,Mobile,Urban,Entertainment,137.0,329,105.25,0,0,3.0,0,0
134,3062,448.18,POS Purchase,2023-01-06 13:00:00,Desktop,Urban,Clothing,1569.0,194,286.75,0,0,4.0,1,0
135,4884,15.51,POS Purchase,2023-01-06 14:00:00,Mobile,Urban,Travel,1780.0,80,236.93,0,0,0.0,0,0
136,1064,476.62,Online Purchase,2023-01-06 15:00:00,Desktop,Urban,Entertainment,1744.0,106,122.86,1,0,2.0,0,0
137,4928,1134.79,ATM Withdrawal,2023-01-06 16:00:00,Mobile,Urban,Clothing,1720.0,320,135.39,0,0,,0,0
138,4910,241.08,Online Purchase,2023-01-06 17:00:00,Mobile,Suburban,Food,830.0,417,220.44,0,0,,0,0
139,3568,294.32,Online Purchase,2023-01-06 18:00:00,Mobile,Urban,Travel,766.0,460,105.13,0,0,,1,0
140,2367,82.29,Online Purchase,2023-01-06 19:00:00,Desktop,Suburban,Food,1158.0,205,102.71,0,0,0.0,0,0
141,2152,568.01,Online Purchase,2023-01-06 20:00:00,Desktop,Urban,Clothing,1435.0,208,194.97,0,0,1.0,0,0
142,3027,150.88,Online Purchase,2023-01-06 21:00:00,Mobile,Urban,Travel,1649.0,126,57.74,0,0,0.0,0,0
143,3695,263.64,Online Purchase,2023-01-06 22:00:00,Mobile,Suburban,Electronics,106.0,33,298.14,0,0,,0,0
144,2495,515.69,POS Purchase,2023-01-06 23:00:00,Desktop,Urban,Electronics,232.0,63,100.43,0,0,1.0,1,0
145,4134,739.22,POS Purchase,2023-01-07 00:00:00,Desktop,Urban,Electronics,880.0,16,127.16,0,0,0.0,0,0
146,2162,358.2,POS Purchase,2023-01-07 01:00:00,Desktop,Urban,Entertainment,1554.0,434,82.79,1,0,,0,0
147,2522,72.2,ATM Withdrawal,2023-01-07 02:00:00,Tablet,Urban,Electronics,1294.0,248,200.18,0,0,0.0,1,0
148,3640,679.53,Online Purchase,2023-01-07 03:00:00,Mobile,Urban,Entertainment,829.0,104,36.94,0,0,,0,0
149,1391,197.84,Transfer,2023-01-07 04:00:00,Mobile,Urban,Entertainment,736.0,439,279.79,0,0,1.0,0,0
150,2698,533.7,Online Purchase,2023-01-07 05:00:00,,Urban,Clothing,,344,105.12,0,0,2.0,0,0
151,1418,225.47,POS Purchase,2023-01-07 06:00:00,Desktop,Urban,Electronics,1258.0,107,279.67,0,0,1.0,0,0
152,3336,73.41,Online Purchase,2023-01-07 07:00:00,Mobile,Suburban,Travel,441.0,221,90.99,0,0,0.0,0,0
153,1378,92.41,ATM Withdrawal,2023-01-07 08:00:00,Mobile,Urban,Entertainment,1267.0,175,163.86,0,0,1.0,0,0
154,2796,159.91,POS Purchase,2023-01-07 09:00:00,Mobile,Rural,Clothing,470.0,227,214.65,0,0,1.0,0,0
155,4561,312.14,Online Purchase,2023-01-07 10:00:00,Desktop,Urban,Entertainment,1584.0,189,191.54,0,1,0.0,0,0
156,3278,76.54,POS Purchase,2023-01-07 11:00:00,Mobile,Suburban,Travel,1724.0,439,163.5,0,0,0.0,0,0
157,4065,173.37,Online Purchase,2023-01-07 12:00:00,Mobile,Suburban,Travel,1265.0,394,240.79,0,0,4.0,0,0
158,3088,84.81,ATM Withdrawal,2023-01-07 13:00:00,Tablet,Urban,Electronics,82.0,212,151.74,0,0,0.0,0,0
159,4099,338.31,POS Purchase,2023-01-07 14:00:00,Mobile,Rural,Entertainment,1564.0,403,113.29,0,0,0.0,0,0
160,3182,125.74,Online Purchase,2023-01-07 15:00:00,Mobile,Urban,Travel,1141.0,220,221.21,0,0,4.0,0,0
161,1200,15.97,Online Purchase,2023-01-07 16:00:00,Desktop,Urban,Food,701.0,323,282.44,0,0,2.0,0,0
162,2863,36.32,Online Purchase,2023-01-07 17:00:00,Desktop,Urban,Travel,38.0,161,188.39,0,0,4.0,0,0
163,1779,12.61,POS Purchase,2023-01-07 18:00:00,Desktop,Rural,Travel,720.0,297,98.32,0,0,1.0,0,0
164,3977,138.35,Online Purchase,2023-01-07 19:00:00,Mobile,Suburban,Entertainment,,424,233.59,0,0,4.0,0,0
165,4104,22.49,POS Purchase,2023-01-07 20:00:00,Desktop,Urban,Travel,1716.0,248,233.34,0,0,4.0,0,0
166,4119,24.24,Transfer,2023-01-07 21:00:00,Desktop,Urban,Clothing,1078.0,189,94.72,0,0,2.0,0,0
167,1502,566.21,Online Purchase,2023-01-07 22:00:00,Mobile,Urban,Travel,254.0,400,127.7,0,0,3.0,0,0
168,3454,412.17,Transfer,2023-01-07 23:00:00,Desktop,Urban,Food,1550.0,11,59.46,1,0,2.0,0,0
169,4645,120.33,POS Purchase,2023-01-08 00:00:00,Desktop,Urban,Travel,459.0,67,42.31,0,0,4.0,0,0
170,2751,850.98,Online Purchase,2023-01-08 01:00:00,Desktop,Urban,Electronics,1481.0,40,246.06,0,0,1.0,0,0
171,1804,0.04,POS Purchase,2023-01-08 02:00:00,Tablet,Urban,Entertainment,1247.0,397,124.32,0,1,1.0,0,0
172,3146,190.37,ATM Withdrawal,2023-01-08 03:00:00,Desktop,Rural,Food,1171.0,259,98.77,0,0,3.0,0,0
173,3731,191.65,POS Purchase,2023-01-08 04:00:00,Desktop,Urban,,864.0,125,91.71,0,0,0.0,1,0
174,2895,122.29,Online Purchase,2023-01-08 05:00:00,Desktop,Suburban,Travel,924.0,225,40.95,0,0,4.0,0,0
175,3773,101.15,Online Purchase,2023-01-08 06:00:00,Mobile,Urban,Travel,1977.0,209,295.76,0,0,0.0,0,0
176,2570,121.53,ATM Withdrawal,2023-01-08 07:00:00,Desktop,Rural,Clothing,789.0,332,122.77,0,0,1.0,1,0
177,1960,107.22,POS Purchase,2023-01-08 08:00:00,Mobile,Urban,Travel,1024.0,329,65.99,1,0,0.0,0,0
178,4810,262.23,POS Purchase,2023-01-08 09:00:00,Mobile,Urban,Electronics,107.0,397,261.96,0,0,2.0,0,0
179,3660,29.09,Online Purchase,2023-01-08 10:00:00,Desktop,Suburban,Food,1205.0,264,222.47,0,1,2.0,0,0
180,2485,44.04,ATM Withdrawal,2023-01-08 11:00:00,Desktop,Suburban,Travel,1109.0,170,205.53,0,0,3.0,0,0
181,3690,39.82,Transfer,2023-01-08 12:00:00,Mobile,Urban,Clothing,1871.0,403,103.22,1,0,,0,0
182,4840,60.89,Online Purchase,2023-01-08 13:00:00,Mobile,Urban,Clothing,386.0,0,136.33,0,0,3.0,0,0
183,2028,149.0,Online Purchase,2023-01-08 14:00:00,Mobile,Suburban,Food,,363,255.5,0,0,2.0,0,0
184,4289,23.58,ATM Withdrawal,2023-01-08 15:00:00,Desktop,Urban,Electronics,,348,199.17,0,0,,1,0
185,1502,405.25,ATM Withdrawal,2023-01-08 16:00:00,Mobile,Suburban,Food,703.0,208,116.78,0,0,3.0,1,0
186,3814,70.58,POS Purchase,2023-01-08 17:00:00,Desktop,Urban,Travel,1830.0,240,50.6,0,0,2.0,0,0
187,1397,35.48,Transfer,2023-01-08 18:00:00,Desktop,Urban,Electronics,1647.0,71,272.08,0,0,0.0,0,0
188,1870,225.17,POS Purchase,2023-01-08 19:00:00,Mobile,Urban,Electronics,600.0,272,287.55,0,0,4.0,0,0
189,3842,7.77,Online Purchase,2023-01-08 20:00:00,Mobile,Urban,Clothing,607.0,468,221.26,1,0,4.0,0,0
190,1392,193.5,ATM Withdrawal,2023-01-08 21:00:00,Mobile,Suburban,Electronics,435.0,88,213.59,0,0,,1,0
191,1206,239.6,POS Purchase,2023-01-08 22:00:00,Desktop,Urban,Travel,144.0,19,170.56,0,0,4.0,1,0
192,2038,48.39,Transfer,2023-01-08 23:00:00,Desktop,Urban,Travel,1856.0,314,292.02,0,0,4.0,0,0
193,2881,8.57,Online Purchase,2023-01-09 00:00:00,Desktop,Urban,Travel,1980.0,472,214.36,0,0,4.0,1,0
194,4625,90.4,POS Purchase,2023-01-09 01:00:00,Desktop,Urban,Entertainment,503.0,468,41.49,0,0,2.0,0,0
195,3939,20.76,ATM Withdrawal,2023-01-09 02:00:00,Mobile,Urban,Electronics,783.0,140,45.68,0,0,4.0,0,0
196,2484,24.77,Online Purchase,2023-01-09 03:00:00,Mobile,Urban,Electronics,1387.0,376,289.8,0,0,3.0,0,0
197,4762,58.68,Online Purchase,2023-01-09 04:00:00,Desktop,Suburban,Travel,1674.0,332,284.12,0,0,3.0,1,0
198,4646,70.04,ATM Withdrawal,2023-01-09 05:00:00,Desktop,Rural,Clothing,1869.0,174,176.19,0,0,,0,0
199,1863,150.99,POS Purchase,2023-01-09 06:00:00,Desktop,Suburban,Electronics,1362.0,49,79.96,0,0,1.0,0,0
200,3790,226.88,POS Purchase,2023-01-09 07:00:00,Desktop,Urban,Entertainment,360.0,93,183.38,0,0,1.0,0,1
201,4312,179.68,ATM Withdrawal,2023-01-09 08:00:00,Mobile,Suburban,Electronics,1597.0,460,233.79,0,0,3.0,1,0
202,1563,32.12,Online Purchase,2023-01-09 09:00:00,Mobile,Rural,Food,754.0,167,22.32,0,0,,0,0
203,2020,37.77,Transfer,2023-01-09 10:00:00,Desktop,Urban,Entertainment,1012.0,390,250.39,0,0,4.0,0,0
204,1095,422.01,ATM Withdrawal,2023-01-09 11:00:00,Tablet,Suburban,Clothing,1557.0,54,150.14,0,0,2.0,0,0
205,2923,163.45,POS Purchase,2023-01-09 12:00:00,Mobile,Suburban,Entertainment,117.0,50,149.69,0,0,3.0,0,0
206,2757,407.95,POS Purchase,2023-01-09 13:00:00,Mobile,Suburban,Entertainment,,489,141.61,0,0,4.0,0,1
207,3532,92.9,Transfer,2023-01-09 14:00:00,Mobile,Suburban,Electronics,603.0,331,213.72,0,0,3.0,0,0
208,4478,190.59,Online Purchase,2023-01-09 15:00:00,Mobile,Suburban,Entertainment,32.0,385,78.65,0,0,3.0,1,0
209,3278,148.33,Online Purchase,2023-01-09 16:00:00,Desktop,Suburban,Travel,1827.0,269,189.86,1,0,4.0,0,0
210,3796,76.87,Online Purchase,2023-01-09 17:00:00,Tablet,Suburban,Entertainment,1436.0,361,32.35,0,0,4.0,1,0
211,2678,126.94,Online Purchase,2023-01-09 18:00:00,Desktop,Urban,Electronics,1677.0,144,247.18,0,0,0.0,1,0
212,4242,139.63,POS Purchase,2023-01-09 19:00:00,Desktop,Suburban,Travel,553.0,76,248.32,0,0,2.0,0,0
